ldbv_id,lod3_building_id
DEBY_LOD2_4392345,4018258
DEBY_LOD2_4392783,4018259
DEBY_LOD2_4392357,4018260
DEBY_LOD2_4393856,4018153
DEBY_LOD2_4392359,4018261a
DEBY_LOD2_4392344,4018261b
DEBY_LOD2_4392358,4018263
DEBY_LOD2_4392361,4018264
DEBY_LOD2_4392362,4018266
DEBY_LOD2_4392805,4018265
DEBY_LOD2_52147,4018148
DEBY_LOD2_4392365,4018147
DEBY_LOD2_4392364,4018149a
DEBY_LOD2_4392363,4018149b
DEBY_LOD2_4392380,4018150a
DEBY_LOD2_4392366,4018150b
DEBY_LOD2_4392368,4018151
DEBY_LOD2_4392367,4018262
DEBY_LOD2_4392367,4018152a
DEBY_LOD2_4392367,4018152b
DEBY_LOD2_4392369,4018115
DEBY_LOD2_52151,4018133
DEBY_LOD2_4392446,4018106
DEBY_LOD2_4392445,4018128
DEBY_LOD2_4392437,4018215
DEBY_LOD2_4392439,4018216
DEBY_LOD2_4392439,4018212
DEBY_LOD2_4392440,4018212
DEBY_LOD2_4392444,4018213
DEBY_LOD2_4392444,4018142
DEBY_LOD2_4392504,4018211
DEBY_LOD2_4392441,4018210
DEBY_LOD2_4392506,4018209
DEBY_LOD2_4392505,4018209
DEBY_LOD2_4392496,4018273
DEBY_LOD2_4392499,4018204d
DEBY_LOD2_4392498,4018204c
DEBY_LOD2_4392493,4018204b
DEBY_LOD2_4392494,4018204a
DEBY_LOD2_4392502,4018193
DEBY_LOD2_4392508,4018208
DEBY_LOD2_4392507,4018205
DEBY_LOD2_4392509,4018206
DEBY_LOD2_4392443,4018207
DEBY_LOD2_4392442,4018271
DEBY_LOD2_52153,4018270
DEBY_LOD2_4392512,4018279
DEBY_LOD2_4392670,4018267
DEBY_LOD2_4392671,4018267
DEBY_LOD2_4392654,4018194
DEBY_LOD2_4393025,4018197
DEBY_LOD2_4392360,4018155
DEBY_LOD2_4392354,4018154
DEBY_LOD2_4392355,4018156
DEBY_LOD2_4392346,4018257
DEBY_LOD2_107776070,1990000
DEBY_LOD2_52331,4990046
DEBY_LOD2_4392663,4990048
DEBY_LOD2_4392655,0
